lag_month,corr,n_pairs
1,0.649751078819773,156
2,0.46531002527286325,155
3,0.30938082378760257,154
4,0.2833287227498459,153
5,0.24710657800396077,152
6,0.23905001154280606,151
7,0.25088799349065244,150
8,0.13494982078729714,149
9,0.03187637280700386,148
10,-0.04852978380225014,147
11,-0.07994839115525564,146
12,-0.1306473510019212,145
13,-0.13684220543920123,144
14,-0.13021265265178378,143
15,-0.1588123703271828,142
16,-0.13602792777680564,141
17,-0.09725122667064483,140
18,-0.07981674499772595,139
19,-0.12174259524753543,138
20,-0.09118460451884197,137
21,-0.07192341570724002,136
22,-0.06332668426745437,135
23,-0.044437254965108725,134
24,-0.020999533598497717,133
