lookback_m,vol_target_ann,max_leverage,annualized_return,max_drawdown,calmar
3,0.08,1.0,0.17351342730849972,-0.2638578813302789,0.6576018363889905
3,0.1,1.0,0.190988586502431,-0.2865151550015912,0.666591568258825
3,0.12,1.0,0.2111940680780886,-0.3075818403327656,0.6866272334205514
3,0.15,1.0,0.2378059570647837,-0.3296431140956393,0.7214042911746947
3,0.18,1.0,0.25808609812999994,-0.33657151279710595,0.7668090979689685
3,0.21,1.0,0.2700971212908414,-0.3429768513548228,0.7875083120738533
3,0.25,1.0,0.2838671164026736,-0.3463989566830704,0.8194802868947182
6,0.08,1.0,0.17655765691378433,-0.23775276947084334,0.7426103061038638
6,0.1,1.0,0.19778898739341444,-0.2624487304931554,0.7536290498405467
6,0.12,1.0,0.21722600870145725,-0.28420666395733085,0.7643241213164175
6,0.15,1.0,0.2414167738518065,-0.3117221494043332,0.7744614051748566
6,0.18,1.0,0.26241087944489405,-0.3354165433716817,0.7823432821979546
6,0.21,1.0,0.2788040383401793,-0.3449964745313385,0.8081359055014156
6,0.25,1.0,0.29128309886076864,-0.34639895668307064,0.8408890767164495
9,0.08,1.0,0.17095069378601657,-0.23442337106649025,0.7292391241039242
9,0.1,1.0,0.19182150307748125,-0.25879408341063426,0.7412128613972749
9,0.12,1.0,0.21203297010926736,-0.2802678787770473,0.7565368212528533
9,0.15,1.0,0.2388681854511221,-0.3085938026113172,0.7740537348119835
9,0.18,1.0,0.26180517959952154,-0.3324587092365424,0.7874817904476935
9,0.21,1.0,0.27961352518455707,-0.34639895668307075,0.8072008295347801
9,0.25,1.0,0.2932643653570508,-0.36617330598983366,0.8008895256968648
12,0.08,1.0,0.16816578652059455,-0.23559522815122524,0.7137911401696613
12,0.1,1.0,0.18853019043834185,-0.26006871222073424,0.7249245356293615
12,0.12,1.0,0.20818933602093503,-0.28163133996959444,0.7392264513012352
12,0.15,1.0,0.23421269310480497,-0.3105541358029258,0.7541766993353898
12,0.18,1.0,0.25707682083799943,-0.33553619426314674,0.7661671832529192
12,0.21,1.0,0.27650904810510557,-0.35448717565934684,0.7800255329146907
12,0.25,1.0,0.28767822553366296,-0.3906276867319769,0.7364511920299415
18,0.08,1.0,0.16102183365503464,-0.25053705129823245,0.6427066688166561
18,0.1,1.0,0.18045358610722073,-0.2759305704394298,0.6539818542753041
18,0.12,1.0,0.19927037171352646,-0.29813758026086623,0.6683839438797606
18,0.15,1.0,0.2263204072625038,-0.32730793181152884,0.6914601977712661
18,0.18,1.0,0.25126771739441467,-0.3526930038953443,0.7124261457394094
18,0.21,1.0,0.27399014536784505,-0.3747473692735048,0.7311329387021704
18,0.25,1.0,0.2842541070587259,-0.4114448337030845,0.6908680915990194
